78.55,78.55,2019-06-03,78.65,77.65,78.20,6017694
78.05,78.05,2019-06-04,78.60,78.00,78.45,7228829
78.25,78.30,2019-06-05,78.95,78.25,78.85,7051894
77.65,77.70,2019-06-06,77.85,77.45,77.70,7456203
79.00,79.05,2019-06-10,79.05,78.35,78.65,7666763
79.40,79.40,2019-06-11,79.80,79.05,79.20,10623986
79.65,79.70,2019-06-12,79.80,79.25,79.40,9258296
79.00,79.05,2019-06-13,79.55,78.95,79.40,5914941
78.85,78.90,2019-06-14,79.15,78.80,79.00,3164087
82.15,82.20,2019-07-10,82.25,81.85,81.95,4427730
82.75,82.75,2019-07-12,83.00,82.70,82.85,2972505
80.55,80.60,2019-08-12,80.85,80.15,80.65,3168030
81.50,81.50,2019-07-09,81.75,81.40,81.75,4083155
80.75,80.75,2019-06-25,81.40,80.60,81.15,7941128
83.00,83.00,2019-07-19,83.45,83.00,83.00,9780922
83.40,83.40,2019-07-22,83.50,83.10,83.10,8368544
80.10,80.15,2019-08-05,80.85,79.90,80.70,20659506
83.20,83.20,2019-07-15,83.35,82.25,82.85,9336043
82.45,82.45,2019-07-02,82.70,82.40,82.65,5209290
80.85,80.85,2019-06-21,81.20,80.80,81.10,15343532
83.40,83.45,2019-07-29,83.45,83.05,83.10,3042246
80.60,80.65,2019-08-08,80.80,80.00,80.05,5036121
82.25,82.30,2019-08-01,82.55,82.10,82.20,5042943
80.25,80.30,2019-08-14,80.80,80.30,80.70,7382138
82.80,82.80,2019-07-17,83.25,82.80,83.25,10598530
82.65,82.65,2019-07-01,82.80,82.05,82.05,13771395
80.90,80.95,2019-08-02,81.20,80.60,81.05,16846402
83.20,83.20,2019-07-30,83.70,83.20,83.60,2083374
78.70,78.70,2019-06-17,78.95,78.10,78.45,6141128
83.25,83.25,2019-07-26,83.40,83.20,83.40,3129687
80.80,80.85,2019-06-20,81.00,80.65,80.75,11581994
81.45,81.50,2019-07-03,82.35,81.35,82.35,8615424
83.60,83.60,2019-07-23,83.90,83.50,83.60,5899116
82.80,82.80,2019-07-31,83.15,82.45,83.15,3119262
81.60,81.60,2019-07-08,82.00,81.40,81.80,3859058
82.85,82.85,2019-07-11,83.05,82.50,82.65,10379773
78.85,78.90,2019-06-18,79.00,78.60,78.80,2890377
83.75,83.80,2019-07-25,83.80,83.40,83.55,4931659
80.35,80.35,2019-06-26,80.60,80.25,80.60,5913352
81.45,81.50,2019-06-27,81.60,80.55,80.55,15351329
82.00,82.00,2019-07-04,82.20,81.80,81.80,5777556
81.90,81.90,2019-07-05,82.35,81.80,82.10,1612933
80.05,80.10,2019-08-06,80.45,78.50,78.65,24901846
79.70,79.70,2019-08-07,80.20,79.55,80.15,16856004
81.15,81.20,2019-06-24,81.50,80.70,80.80,16600747
82.70,82.70,2019-07-18,82.95,82.60,82.60,7541026
80.75,80.75,2019-06-19,80.80,79.95,80.00,21832509
79.70,79.70,2019-08-13,80.15,79.55,80.15,7431519
83.55,83.55,2019-07-24,83.90,83.55,83.75,3364336
83.35,83.35,2019-07-16,83.45,83.15,83.20,5503245
80.90,80.90,2019-06-28,81.55,80.85,81.45,3940686
79.40,79.40,2019-08-15,79.60,79.10,79.20,15972089
80.30,80.35,2019-08-16,80.35,79.25,79.45,6158748
80.75,80.80,2019-08-19,80.90,80.30,80.75,6475352
81.00,81.00,2019-08-20,81.10,80.80,80.85,4179197
81.10,81.10,2019-08-21,81.15,80.90,80.95,6092896
80.85,80.90,2019-08-22,81.65,80.80,81.30,9379398
80.95,81.00,2019-08-23,81.10,80.75,80.90,3211036
79.65,79.65,2019-08-26,80.10,79.60,79.80,12292310
79.80,79.85,2019-08-27,80.20,79.75,80.15,2535864
80.35,80.40,2019-08-28,80.55,80.10,80.10,3318188
80.50,80.55,2019-08-29,80.60,80.00,80.45,3233649
81.80,81.85,2019-08-30,81.90,81.15,81.15,19370894
81.90,81.90,2019-09-02,82.00,81.65,81.80,6457870
81.20,81.20,2019-09-03,82.00,81.20,81.85,5052925
82.15,82.15,2019-09-04,82.20,81.40,81.45,10748771
83.00,83.00,2019-09-05,83.20,82.55,82.55,25429390
83.45,83.50,2019-09-06,83.55,83.25,83.25,17226303
83.75,83.80,2019-09-09,84.00,83.65,83.70,12633348
83.35,83.40,2019-09-10,83.95,83.20,83.95,5171847
83.45,83.45,2019-09-11,83.90,83.30,83.75,4746200
83.90,83.90,2019-09-12,84.25,83.75,84.10,9281122
84.40,84.40,2019-09-16,84.45,83.95,84.00,10929792
84.25,84.25,2019-09-17,84.45,84.20,84.40,4966780
84.90,84.95,2019-09-18,85.00,84.35,84.40,16999486
84.45,84.45,2019-09-19,85.15,84.40,84.95,7777364
84.70,84.70,2019-09-20,84.90,84.65,84.65,8231699
84.50,84.50,2019-09-23,84.85,84.50,84.65,4369839
84.65,84.65,2019-09-24,84.85,84.35,84.50,4852012
84.05,84.10,2019-09-25,84.35,83.90,84.35,3927674
84.30,84.30,2019-09-26,84.70,84.15,84.45,5194687
84.55,84.60,2019-09-27,85.20,84.50,84.90,8884695
85.95,85.95,2019-10-01,86.00,84.80,84.80,9595908
85.60,85.65,2019-10-02,85.90,85.60,85.60,5653658
84.80,84.80,2019-10-03,85.10,84.30,84.40,4868237
85.15,85.15,2019-10-04,85.40,84.75,85.20,3746987
85.40,85.45,2019-10-07,85.65,85.20,85.40,4140747
86.50,86.50,2019-10-08,86.60,85.85,85.85,12195435
85.75,85.80,2019-10-09,86.20,85.80,86.15,6916829
87.50,87.55,2019-10-14,87.55,87.00,87.00,9491298
87.65,87.70,2019-10-15,87.85,87.30,87.55,4377610
88.05,88.10,2019-10-16,88.15,87.85,88.00,3983672
88.10,88.15,2019-10-17,88.15,87.80,88.05,2540883
87.95,87.95,2019-10-18,88.65,87.90,88.15,2815798
87.85,87.85,2019-10-21,88.00,87.75,87.95,1077652
88.45,88.45,2019-10-23,88.80,88.30,88.70,2580656
88.70,88.70,2019-10-22,88.80,88.20,88.20,3256399
88.75,88.80,2019-10-24,88.80,88.50,88.70,2579559
88.80,88.80,2019-10-25,89.20,88.60,89.20,7971190
89.15,89.20,2019-10-28,89.30,89.00,89.25,5009774
89.45,89.45,2019-10-29,89.65,89.35,89.50,7410985
89.80,89.85,2019-10-30,89.85,89.30,89.45,5384270
90.10,90.10,2019-10-31,90.60,89.90,89.90,9458164
90.10,90.10,2019-11-01,90.20,89.75,90.00,2806778
92.20,92.20,2019-11-04,92.25,90.55,90.55,6730681
92.85,92.90,2019-11-05,92.90,92.35,92.40,3966279
93.30,93.35,2019-11-06,93.35,92.75,92.95,4494319
92.80,92.85,2019-11-07,93.20,92.35,93.20,3050118
92.50,92.55,2019-11-08,93.05,92.40,93.00,2890536
91.15,91.15,2019-11-11,92.45,91.05,92.40,5859344
91.95,92.00,2019-11-12,92.00,91.55,91.55,2426297
91.40,91.45,2019-11-13,91.65,91.05,91.55,1935545
91.40,91.40,2019-11-14,91.80,91.20,91.60,2174281
92.25,92.30,2019-11-15,92.50,92.00,92.00,2510879
92.85,92.90,2019-11-18,92.90,92.40,92.50,2087613
93.55,93.60,2019-11-19,93.60,92.65,92.90,2821624
93.20,93.25,2019-11-20,93.60,93.10,93.60,7954619
92.50,92.50,2019-11-21,92.55,91.80,92.30,3283838
92.55,92.55,2019-11-22,92.75,92.40,92.55,1506544
92.55,92.60,2019-11-25,93.10,92.55,93.00,2520694
92.80,92.85,2019-11-26,93.30,92.80,92.95,3827480
93.20,93.20,2019-11-27,93.20,92.75,92.85,1957676
92.90,92.95,2019-11-28,93.25,92.80,93.25,1352720
91.50,91.50,2019-11-29,92.85,91.45,92.85,5344208
92.00,92.05,2019-12-02,92.15,91.75,91.95,2068341
92.00,92.05,2019-12-03,92.20,91.60,91.70,1410794
91.70,91.70,2019-12-04,91.90,91.40,91.85,2310508
92.85,92.90,2019-12-05,93.00,92.20,92.35,3441050
92.95,93.05,2019-12-06,93.50,92.75,93.30,3394433
93.60,93.65,2019-12-09,93.80,93.20,93.20,2912194
93.00,93.00,2019-12-10,93.40,92.80,93.40,5465431
93.75,93.75,2019-12-11,93.75,92.95,93.00,1936772
95.80,95.85,2019-12-12,96.10,94.35,94.35,8420111
96.90,96.90,2019-12-13,97.40,96.70,96.75,5880136
96.80,96.85,2019-12-16,97.05,96.65,96.95,4482448
98.15,98.15,2019-12-17,98.15,96.70,96.75,4703223
98.20,98.20,2019-12-18,98.30,97.80,98.00,3762355
